536370,POST,POSTAGE,3,12/1/2010 8:45,18,12583,France
536403,POST,POSTAGE,1,12/1/2010 11:27,15,12791,Netherlands
536527,POST,POSTAGE,1,12/1/2010 13:04,18,12662,Germany
536544,DOT,DOTCOM POSTAGE,1,12/1/2010 14:32,569.77,,United Kingdom
536592,DOT,DOTCOM POSTAGE,1,12/1/2010 17:06,607.49,,United Kingdom
536840,POST,POSTAGE,1,12/2/2010 18:27,18,12738,Germany
536852,POST,POSTAGE,1,12/3/2010 9:51,18,12686,France
536858,POST,POSTAGE,2,12/3/2010 10:36,40,13520,Switzerland
536861,POST,POSTAGE,3,12/3/2010 10:44,18,12427,Germany
536862,DOT,DOTCOM POSTAGE,1,12/3/2010 11:13,254.43,,United Kingdom
536864,DOT,DOTCOM POSTAGE,1,12/3/2010 11:27,121.06,,United Kingdom
536865,DOT,DOTCOM POSTAGE,1,12/3/2010 11:28,498.47,,United Kingdom
536876,DOT,DOTCOM POSTAGE,1,12/3/2010 11:36,887.52,,United Kingdom
536967,POST,POSTAGE,1,12/3/2010 12:57,18,12600,Germany
536974,POST,POSTAGE,2,12/3/2010 13:59,18,12682,France
536983,POST,POSTAGE,1,12/3/2010 14:30,18,12712,Germany
536990,POST,POSTAGE,1,12/3/2010 15:14,28,12793,Portugal
537022,POST,POSTAGE,2,12/3/2010 15:45,28,12725,Italy
537026,POST,POSTAGE,2,12/3/2010 16:35,18,12395,Belgium
537065,POST,POSTAGE,9,12/5/2010 11:57,18,12567,France
537197,POST,POSTAGE,3,12/5/2010 14:02,18,12647,Germany
537198,POST,POSTAGE,1,12/5/2010 14:03,18,12647,Germany
537201,POST,POSTAGE,6,12/5/2010 14:19,18,12472,Germany
537212,POST,POSTAGE,4,12/5/2010 15:21,18,12720,Germany
537237,DOT,DOTCOM POSTAGE,1,12/6/2010 9:58,863.74,,United Kingdom
537240,DOT,DOTCOM POSTAGE,1,12/6/2010 10:08,940.87,,United Kingdom
537246,POST,POSTAGE,1,12/6/2010 10:27,28,12808,Portugal
537250,POST,POSTAGE,1,12/6/2010 10:43,18,12708,Germany
C537414,POST,POSTAGE,-1,12/6/2010 15:09,4.41,16861,United Kingdom
537434,DOT,DOTCOM POSTAGE,1,12/6/2010 16:57,950.99,,United Kingdom
537463,POST,POSTAGE,4,12/7/2010 10:08,18,12681,France
537468,POST,POSTAGE,3,12/7/2010 10:36,18,12567,France
537594,POST,POSTAGE,5,12/7/2010 12:28,18,12647,Germany
537638,DOT,DOTCOM POSTAGE,1,12/7/2010 15:28,836.14,,United Kingdom
